amount,transaction_type,location,time,device_id,label
1878.96,Transfer,Houston,1,1055,0
4754.06,Transfer,Seattle,21,1049,1
3662.65,Cheque,Dallas,7,1094,0
2997.31,ATM,Boston,22,1044,0
788.53,Transfer,Boston,7,1088,0
788.41,BillPay,Dallas,3,1058,0
299.84,Transfer,Miami,18,1038,0
4332.22,BillPay,Miami,22,1020,0
3009.56,Transfer,Chicago,17,1054,1
3543.28,BillPay,Miami,20,1056,0
112.72,Transfer,Boston,22,1040,0
4849.85,Transfer,Miami,0,1092,1
4163.89,Online,Houston,19,1069,1
1069.57,BillPay,Boston,14,1081,0
917.31,BillPay,Seattle,17,1048,0
925.19,BillPay,San Francisco,21,1043,0
1528.17,POS,Miami,11,1034,0
2628.53,Transfer,Miami,0,1090,0
2165.41,BillPay,Atlanta,6,1004,0
1463.23,Cheque,Los Angeles,18,1070,0
3063.15,POS,Houston,0,1073,0
706.07,Online,Boston,23,1073,1
1467.8,BillPay,Boston,6,1050,0
1838.15,BillPay,New York,1,1056,0
2285.79,POS,Los Angeles,6,1057,0
3928.03,Transfer,Miami,18,1091,1
1006.37,Cheque,Dallas,12,1035,0
2576.03,Online,Atlanta,23,1009,1
2966.15,BillPay,Seattle,4,1049,0
241.79,Transfer,Atlanta,22,1098,0
3041.65,Cheque,Miami,18,1098,0
860.92,Cheque,New York,0,1036,0
334.61,Online,San Francisco,0,1019,0
4744.94,ATM,Boston,17,1012,0
4828.5,Cheque,Seattle,23,1074,1
4043.9,ATM,Los Angeles,0,1018,0
1530.02,Cheque,Miami,4,1091,0
497.38,Online,Houston,8,1055,0
3424.32,POS,Dallas,11,1044,0
2206.36,Online,Atlanta,8,1059,0
618.97,Online,New York,17,1067,0
2480.93,POS,San Francisco,22,1056,0
181.6,POS,Chicago,10,1053,0
4547.51,Transfer,Dallas,0,1036,1
1301.31,Cheque,Miami,18,1082,0
3315.99,Transfer,San Francisco,21,1036,1
1565.44,POS,Dallas,9,1013,0
2605.14,ATM,Dallas,1,1094,0
2738.08,ATM,Boston,6,1091,0
932.42,Online,Dallas,19,1099,0
4848.23,BillPay,Houston,1,1043,0
3877.91,Online,San Francisco,18,1082,1
4698.1,Online,Miami,5,1041,1
4475.19,BillPay,Miami,9,1000,0
2993.52,Cheque,Houston,8,1022,0
4610.15,POS,Los Angeles,7,1063,0
451.58,ATM,San Francisco,10,1027,0
987.95,Online,Dallas,8,1003,0
235.68,BillPay,New York,19,1040,0
